gap_period,signal_period,momentum_period,vol_period,final_equity,total_return,trades,skipped_executions,fees_paid,slippage_impact,final_holding,start,end,shard
75,9,123,21,30730.008237413240,29.730008237413,518,0,1243.061663340148,4460.328049325570,TUPY3,2018-01-02,2026-08-19,6
51,9,123,21,30052.173250326989,29.052173250327,507,0,803.550232402475,2976.540598340862,UGPA3,2018-01-02,2026-08-19,14
51,9,122,21,27472.240473880647,26.472240473881,513,5,715.045031575625,2695.121644296983,UGPA3,2018-01-02,2026-08-19,14
41,15,48,21,24631.136438635625,23.631136438636,490,0,736.713662653357,2776.418873369815,UGPA3,2018-01-02,2026-08-19,4
47,8,41,21,24387.990726599688,23.387990726600,563,0,1071.577730553454,3960.664030436938,UGPA3,2018-01-02,2026-08-19,10
50,10,121,21,23875.910609801704,22.875910609802,508,0,671.502312010835,2532.514732948669,UGPA3,2018-01-02,2026-08-19,13
50,10,122,21,23637.320051779025,22.637320051779,494,0,749.284520972801,2808.996327631445,UGPA3,2018-01-02,2026-08-19,13
51,9,125,21,23441.352551066109,22.441352551066,501,4,693.186699499461,2648.897272939538,UGPA3,2018-01-02,2026-08-19,14
41,15,49,21,23394.927557932660,22.394927557933,495,0,705.237565162114,2705.534864913805,UGPA3,2018-01-02,2026-08-19,4
41,15,46,21,23386.461889432387,22.386461889432,506,0,767.762360646707,2914.065828592105,UGPA3,2018-01-02,2026-08-19,4
75,9,124,21,23193.223362670840,22.193223362671,510,0,974.404971575781,3555.187142758353,TUPY3,2018-01-02,2026-08-19,6
75,9,122,21,22925.399327682582,21.925399327683,505,0,1072.750858529485,3883.944932590905,TUPY3,2018-01-02,2026-08-19,6
50,10,123,21,22599.549869406463,21.599549869406,493,0,674.898274974296,2552.246097076783,UGPA3,2018-01-02,2026-08-19,13
8,14,156,21,22579.082044043535,21.579082044044,578,0,1595.294041188635,5722.196845610410,UGPA3,2018-01-02,2026-08-19,3
48,8,41,21,22562.614000713282,21.562614000713,532,0,1207.816054320933,4370.196407271169,FLRY3,2018-01-02,2026-08-19,11
35,18,46,21,22139.324359521583,21.139324359522,466,0,662.414504257436,2524.168085836001,UGPA3,2018-01-02,2026-08-19,14
8,47,41,21,21348.513551505268,20.348513551505,592,0,1307.146366659162,4723.747286217218,FLRY3,2018-01-02,2026-08-19,3
52,12,159,21,21261.459498618296,20.261459498618,451,1,737.454998393151,2714.847196940156,UGPA3,2018-01-02,2026-08-19,15
75,9,125,21,21097.184624519377,20.097184624519,512,0,1046.132252790544,3822.797662783837,TUPY3,2018-01-02,2026-08-19,6
74,9,123,21,20918.539760294869,19.918539760295,522,0,896.708859684824,3300.154598679556,PETR4,2018-01-02,2026-08-19,5
51,9,120,21,20527.042056441423,19.527042056441,529,3,665.644578856248,2509.109631444006,UGPA3,2018-01-02,2026-08-19,14
18,36,46,21,19837.576066617374,18.837576066617,496,0,848.230214685355,3124.896787594685,UGPA3,2018-01-02,2026-08-19,13
41,19,63,21,19445.167440055171,18.445167440055,434,0,926.408206727957,3389.707515287331,FLRY3,2018-01-02,2026-08-19,4
50,10,159,21,19376.719879409487,18.376719879409,479,4,464.945314574386,1836.317294563012,UGPA3,2018-01-02,2026-08-19,13
51,9,159,21,19252.065007338264,18.252065007338,502,1,627.803087231107,2422.594942405414,UGPA3,2018-01-02,2026-08-19,14
45,8,41,21,19211.627035769689,18.211627035770,590,0,1202.844966264287,4422.724708115909,UGPA3,2018-01-02,2026-08-19,8
8,14,133,21,18974.355715396792,17.974355715397,564,0,1307.165161907091,4763.875194946387,UGPA3,2018-01-02,2026-08-19,3
52,8,125,21,18234.478627617653,17.234478627618,526,6,487.291037807141,1951.716947771955,UGPA3,2018-01-02,2026-08-19,15
51,9,121,21,18197.381837324545,17.197381837325,528,5,479.395988001971,1912.403299776910,UGPA3,2018-01-02,2026-08-19,14
80,9,122,21,18057.520120422010,17.057520120422,475,2,1021.626040334484,3707.358328933473,JHSF3,2018-01-02,2026-08-19,11
48,11,125,21,17918.324270435045,16.918324270435,487,2,739.585152083887,2813.903916249072,UGPA3,2018-01-02,2026-08-19,11
8,14,161,21,17913.835448925951,16.913835448926,595,0,1132.648364675836,4184.580350469999,UGPA3,2018-01-02,2026-08-19,3
49,10,125,21,17849.806428677857,16.849806428678,508,2,646.140483611684,2483.922761527839,UGPA3,2018-01-02,2026-08-19,12
9,46,41,21,17761.890201878337,16.761890201878,570,0,1378.642982403797,4986.207516053834,UGPA3,2018-01-02,2026-08-19,4
51,19,228,21,17744.096850681672,16.744096850682,393,0,793.312711009861,2885.938359046668,JHSF3,2018-01-02,2026-08-19,14
52,8,159,21,17689.785942734761,16.689785942735,514,4,566.065270622541,2236.882956783383,UGPA3,2018-01-02,2026-08-19,15
80,9,121,21,17682.937495278060,16.682937495278,489,3,903.251777031898,3294.630717024278,JHSF3,2018-01-02,2026-08-19,11
74,9,122,21,17670.137381272714,16.670137381273,519,0,863.224817042414,3202.166153248268,PETR4,2018-01-02,2026-08-19,5
36,19,63,21,17476.201355576370,16.476201355576,467,0,1000.018640843291,3626.960429680027,FLRY3,2018-01-02,2026-08-19,15
9,44,41,21,17445.768313140430,16.445768313140,581,0,1010.511283836057,3719.458179815694,UGPA3,2018-01-02,2026-08-19,4
8,14,158,21,17374.003753311579,16.374003753312,586,0,1217.144611791389,4443.165631197581,UGPA3,2018-01-02,2026-08-19,3
61,39,216,21,17262.549623855091,16.262549623855,359,0,906.117975288709,3290.991570519735,JHSF3,2018-01-02,2026-08-19,8
41,15,52,21,17181.443984103797,16.181443984104,494,0,590.654875022907,2312.370914304755,UGPA3,2018-01-02,2026-08-19,4
42,19,162,21,17041.087244367533,16.041087244368,421,4,755.547540599221,2801.752547667731,UGPA3,2018-01-02,2026-08-19,5
12,52,110,21,17015.103574579174,16.015103574579,491,0,616.365371578075,2406.616036209687,UGPA3,2018-01-02,2026-08-19,7
52,12,123,21,16987.251392432147,15.987251392432,481,3,600.052778947224,2305.399338523387,UGPA3,2018-01-02,2026-08-19,15
